date,saptawara,pancawara,wuku
2026-01-01,Wraspati,Pon,Krulut
2026-01-02,Sukra,Wage,Krulut
2026-01-03,Saniscara,Kliwon,Krulut
2026-01-04,Redite,Umanis,Merakih
2026-01-05,Soma,Paing,Merakih
2026-01-06,Anggara,Pon,Merakih
2026-01-07,Buda,Wage,Merakih
2026-01-08,Wraspati,Kliwon,Merakih
2026-01-09,Sukra,Umanis,Merakih
2026-01-10,Saniscara,Paing,Merakih
2026-01-11,Redite,Pon,Tambir
2026-01-12,Soma,Wage,Tambir
2026-01-13,Anggara,Kliwon,Tambir
2026-01-14,Buda,Umanis,Tambir
2026-01-15,Wraspati,Paing,Tambir
2026-01-16,Sukra,Pon,Tambir
2026-01-17,Saniscara,Wage,Tambir
2026-01-18,Redite,Kliwon,Medangkungan
2026-01-19,Soma,Umanis,Medangkungan
2026-01-20,Anggara,Paing,Medangkungan
2026-01-21,Buda,Pon,Medangkungan
2026-01-22,Wraspati,Wage,Medangkungan
2026-01-23,Sukra,Kliwon,Medangkungan
2026-01-24,Saniscara,Umanis,Medangkungan
2026-01-25,Redite,Paing,Matal
2026-01-26,Soma,Pon,Matal
2026-01-27,Anggara,Wage,Matal
2026-01-28,Buda,Kliwon,Matal
2026-01-29,Wraspati,Umanis,Matal
2026-01-30,Sukra,Paing,Matal
2026-01-31,Saniscara,Pon,Matal
2026-02-01,Redite,Wage,Uye
2026-02-02,Soma,Kliwon,Uye
2026-02-03,Anggara,Umanis,Uye
2026-02-04,Buda,Paing,Uye
2026-02-05,Wraspati,Pon,Uye
2026-02-06,Sukra,Wage,Uye
2026-02-07,Saniscara,Kliwon,Uye
2026-02-08,Redite,Umanis,Menail
2026-02-09,Soma,Paing,Menail
2026-02-10,Anggara,Pon,Menail
2026-02-11,Buda,Wage,Menail
2026-02-12,Wraspati,Kliwon,Menail
2026-02-13,Sukra,Umanis,Menail
2026-02-14,Saniscara,Paing,Menail
2026-02-15,Redite,Pon,Parangbakat
2026-02-16,Soma,Wage,Parangbakat
2026-02-17,Anggara,Kliwon,Parangbakat
2026-02-18,Buda,Umanis,Parangbakat
2026-02-19,Wraspati,Paing,Parangbakat
2026-02-20,Sukra,Pon,Parangbakat
2026-02-21,Saniscara,Wage,Parangbakat
2026-02-22,Redite,Kliwon,Bala
2026-02-23,Soma,Umanis,Bala
2026-02-24,Anggara,Paing,Bala
2026-02-25,Buda,Pon,Bala
2026-02-26,Wraspati,Wage,Bala
2026-02-27,Sukra,Kliwon,Bala
2026-02-28,Saniscara,Umanis,Bala
2026-03-01,Redite,Paing,Ugu
2026-03-02,Soma,Pon,Ugu
2026-03-03,Anggara,Wage,Ugu
2026-03-04,Buda,Kliwon,Ugu
2026-03-05,Wraspati,Umanis,Ugu
2026-03-06,Sukra,Paing,Ugu
2026-03-07,Saniscara,Pon,Ugu
2026-03-08,Redite,Wage,Wayang
2026-03-09,Soma,Kliwon,Wayang
2026-03-10,Anggara,Umanis,Wayang
2026-03-11,Buda,Paing,Wayang
2026-03-12,Wraspati,Pon,Wayang
2026-03-13,Sukra,Wage,Wayang
2026-03-14,Saniscara,Kliwon,Wayang
2026-03-15,Redite,Umanis,Kelawu
2026-03-16,Soma,Paing,Kelawu
2026-03-17,Anggara,Pon,Kelawu
2026-03-18,Buda,Wage,Kelawu
2026-03-19,Wraspati,Kliwon,Kelawu
2026-03-20,Sukra,Umanis,Kelawu
2026-03-21,Saniscara,Paing,Kelawu
2026-03-22,Redite,Pon,Dukut
2026-03-23,Soma,Wage,Dukut
2026-03-24,Anggara,Kliwon,Dukut
2026-03-25,Buda,Umanis,Dukut
2026-03-26,Wraspati,Paing,Dukut
2026-03-27,Sukra,Pon,Dukut
2026-03-28,Saniscara,Wage,Dukut
2026-03-29,Redite,Kliwon,Watugunung
2026-03-30,Soma,Umanis,Watugunung
2026-03-31,Anggara,Paing,Watugunung
2026-04-01,Buda,Pon,Watugunung
2026-04-02,Wraspati,Wage,Watugunung
2026-04-03,Sukra,Kliwon,Watugunung
